section_code,section_name,division_code,division_name,group_code,group_name,class_code,class_name,subclass_code,subclass_name
A,"농업, 임업 및 어업(01~03)",1.0,농업,11.0,작물 재배업,111.0,곡물 및 기타 식량작물 재배업,1110,곡물 및 기타 식량작물 재배업
A,"농업, 임업 및 어업(01~03)",1.0,농업,11.0,작물 재배업,112.0,"채소, 화훼작물 및 종묘 재배업",1121,채소작물 재배업
A,"농업, 임업 및 어업(01~03)",1.0,농업,11.0,작물 재배업,112.0,"채소, 화훼작물 및 종묘 재배업",1122,화훼작물 재배업
A,"농업, 임업 및 어업(01~03)",1.0,농업,11.0,작물 재배업,112.0,"채소, 화훼작물 및 종묘 재배업",1123,종자 및 묘목 생산업
A,"농업, 임업 및 어업(01~03)",1.0,농업,11.0,작물 재배업,113.0,"과실, 음료용 및 향신용 작물 재배업",1131,과실작물 재배업
A,"농업, 임업 및 어업(01~03)",1.0,농업,11.0,작물 재배업,113.0,"과실, 음료용 및 향신용 작물 재배업",1132,음료용 및 향신용 작물 재배업
A,"농업, 임업 및 어업(01~03)",1.0,농업,11.0,작물 재배업,114.0,기타 작물 재배업,1140,기타 작물 재배업
A,"농업, 임업 및 어업(01~03)",1.0,농업,11.0,작물 재배업,115.0,시설작물 재배업,1151,"채소, 화훼 및 과실작물 시설 재배업"
A,"농업, 임업 및 어업(01~03)",1.0,농업,11.0,작물 재배업,115.0,시설작물 재배업,1159,기타 시설작물 재배업
A,"농업, 임업 및 어업(01~03)",1.0,농업,12.0,축산업,121.0,소 사육업,1211,젖소 사육업
A,"농업, 임업 및 어업(01~03)",1.0,농업,12.0,축산업,121.0,소 사육업,1212,육우 사육업
A,"농업, 임업 및 어업(01~03)",1.0,농업,12.0,축산업,122.0,양돈업,1220,양돈업
A,"농업, 임업 및 어업(01~03)",1.0,농업,12.0,축산업,123.0,가금류 및 조류 사육업,1231,양계업
A,"농업, 임업 및 어업(01~03)",1.0,농업,12.0,축산업,123.0,가금류 및 조류 사육업,1239,기타 가금류 및 조류 사육업
A,"농업, 임업 및 어업(01~03)",1.0,농업,12.0,축산업,129.0,기타 축산업,1291,말 및 양 사육업
A,"농업, 임업 및 어업(01~03)",1.0,농업,12.0,축산업,129.0,기타 축산업,1299,그 외 기타 축산업
A,"농업, 임업 및 어업(01~03)",1.0,농업,13.0,작물재배 및 축산 복합농업,130.0,작물재배 및 축산 복합농업,1300,작물재배 및 축산 복합농업
A,"농업, 임업 및 어업(01~03)",1.0,농업,14.0,작물재배 및 축산 관련 서비스업,141.0,작물재배 관련 서비스업,1411,작물재배 지원 서비스업
A,"농업, 임업 및 어업(01~03)",1.0,농업,14.0,작물재배 및 축산 관련 서비스업,141.0,작물재배 관련 서비스업,1412,"농산물 건조, 선별 및 기타 수확 후 서비스업"
A,"농업, 임업 및 어업(01~03)",1.0,농업,14.0,작물재배 및 축산 관련 서비스업,142.0,축산 관련 서비스업,1420,축산 관련 서비스업
A,"농업, 임업 및 어업(01~03)",1.0,농업,15.0,수렵 및 관련 서비스업,150.0,수렵 및 관련 서비스업,1500,수렵 및 관련 서비스업
A,"농업, 임업 및 어업(01~03)",2.0,임업,20.0,임업,201.0,영림업,2011,임업용 종묘 생산업
A,"농업, 임업 및 어업(01~03)",2.0,임업,20.0,임업,201.0,영림업,2012,육림업
A,"농업, 임업 및 어업(01~03)",2.0,임업,20.0,임업,202.0,벌목업,2020,벌목업
A,"농업, 임업 및 어업(01~03)",2.0,임업,20.0,임업,203.0,임산물 채취업,2030,임산물 채취업
A,"농업, 임업 및 어업(01~03)",2.0,임업,20.0,임업,204.0,임업 관련 서비스업,2040,임업 관련 서비스업
A,"농업, 임업 및 어업(01~03)",3.0,어업,31.0,어로 어업,311.0,해수면 어업,3111,원양 어업
A,"농업, 임업 및 어업(01~03)",3.0,어업,31.0,어로 어업,311.0,해수면 어업,3112,연근해 어업
A,"농업, 임업 및 어업(01~03)",3.0,어업,31.0,어로 어업,312.0,내수면 어업,3120,내수면 어업
A,"농업, 임업 및 어업(01~03)",3.0,어업,32.0,양식어업 및 어업관련 서비스업,321.0,양식 어업,3211,해수면 양식 어업
A,"농업, 임업 및 어업(01~03)",3.0,어업,32.0,양식어업 및 어업관련 서비스업,321.0,양식 어업,3212,내수면 양식 어업
A,"농업, 임업 및 어업(01~03)",3.0,어업,32.0,양식어업 및 어업관련 서비스업,321.0,양식 어업,3213,수산물 부화 및 수산종자 생산업
A,"농업, 임업 및 어업(01~03)",3.0,어업,32.0,양식어업 및 어업관련 서비스업,322.0,어업 관련 서비스업,3220,어업 관련 서비스업
B,광업(05~08),5.0,"석탄, 원유 및 천연가스 광업",51.0,석탄 광업,510.0,석탄 광업,5100,석탄 광업
B,광업(05~08),5.0,"석탄, 원유 및 천연가스 광업",52.0,원유 및 천연가스 채굴업,520.0,원유 및 천연가스 채굴업,5200,원유 및 천연가스 채굴업
B,광업(05~08),6.0,금속 광업,61.0,철 광업,610.0,철 광업,6100,철 광업
B,광업(05~08),6.0,금속 광업,62.0,비철금속 광업,620.0,비철금속 광업,6200,비철금속 광업
B,광업(05~08),7.0,비금속광물 광업; 연료용 제외,71.0,토사석 광업,711.0,석회석 및 점토 광업,7110,석회석 및 점토 광업
B,광업(05~08),7.0,비금속광물 광업; 연료용 제외,71.0,토사석 광업,712.0,"석재, 쇄석 및 모래, 자갈 채취업",7121,건설용 석재 채굴 및 쇄석 생산업
B,광업(05~08),7.0,비금속광물 광업; 연료용 제외,71.0,토사석 광업,712.0,"석재, 쇄석 및 모래, 자갈 채취업",7122,모래 및 자갈 채취업
B,광업(05~08),7.0,비금속광물 광업; 연료용 제외,72.0,기타 비금속광물 광업,721.0,화학용 및 비료 원료용 광물 광업,7210,화학용 및 비료원료용 광물 광업
B,광업(05~08),7.0,비금속광물 광업; 연료용 제외,72.0,기타 비금속광물 광업,722.0,천일염 생산 및 암염 채취업,7220,천일염 생산 및 암염 채취업
B,광업(05~08),7.0,비금속광물 광업; 연료용 제외,72.0,기타 비금속광물 광업,729.0,그 외 기타 비금속광물 광업,7290,그 외 기타 비금속광물 광업
B,광업(05~08),8.0,광업 지원 서비스업,80.0,광업 지원 서비스업,800.0,광업 지원 서비스업,8000,광업 지원 서비스업
C,제조업(10~34),10.0,식료품 제조업,101.0,"도축, 육류 가공 및 저장 처리업",1011.0,도축업,10111,육류 도축업(가금류 제외)
C,제조업(10~34),10.0,식료품 제조업,101.0,"도축, 육류 가공 및 저장 처리업",1011.0,도축업,10112,가금류 도축업
C,제조업(10~34),10.0,식료품 제조업,101.0,"도축, 육류 가공 및 저장 처리업",1012.0,육류 가공 및 저장 처리업,10121,가금류 가공 및 저장 처리업
C,제조업(10~34),10.0,식료품 제조업,101.0,"도축, 육류 가공 및 저장 처리업",1012.0,육류 가공 및 저장 처리업,10122,육류 포장육 및 냉동육 가공업 (가금류 제외)
C,제조업(10~34),10.0,식료품 제조업,101.0,"도축, 육류 가공 및 저장 처리업",1012.0,육류 가공 및 저장 처리업,10129,육류 기타 가공 및 저장처리업 (가금류 제외)
C,제조업(10~34),10.0,식료품 제조업,102.0,수산물 가공 및 저장 처리업,1021.0,수산동물 가공 및 저장 처리업,10211,"수산동물 훈제, 조리 및 유사 조제식품 제조업"
C,제조업(10~34),10.0,식료품 제조업,102.0,수산물 가공 및 저장 처리업,1021.0,수산동물 가공 및 저장 처리업,10212,수산동물 건조 및 염장품 제조업
C,제조업(10~34),10.0,식료품 제조업,102.0,수산물 가공 및 저장 처리업,1021.0,수산동물 가공 및 저장 처리업,10213,수산동물 냉동품 제조업
C,제조업(10~34),10.0,식료품 제조업,102.0,수산물 가공 및 저장 처리업,1021.0,수산동물 가공 및 저장 처리업,10219,기타 수산동물 가공 및 저장 처리업
C,제조업(10~34),10.0,식료품 제조업,102.0,수산물 가공 및 저장 처리업,1022.0,수산식물 가공 및 저장 처리업,10220,수산식물 가공 및 저장 처리업
C,제조업(10~34),10.0,식료품 제조업,103.0,"과실, 채소 가공 및 저장 처리업",1030.0,"과실, 채소 가공 및 저장 처리업",10301,김치류 제조업
C,제조업(10~34),10.0,식료품 제조업,103.0,"과실, 채소 가공 및 저장 처리업",1030.0,"과실, 채소 가공 및 저장 처리업",10302,과실 및 그 외 채소 절임식품 제조업
C,제조업(10~34),10.0,식료품 제조업,103.0,"과실, 채소 가공 및 저장 처리업",1030.0,"과실, 채소 가공 및 저장 처리업",10309,기타 과실ㆍ채소 가공 및 저장 처리업
C,제조업(10~34),10.0,식료품 제조업,104.0,동ㆍ식물성 유지 및 낙농제품 제조업,1041.0,동물성 및 식물성 유지 제조업,10411,동물성 유지 제조업
C,제조업(10~34),10.0,식료품 제조업,104.0,동ㆍ식물성 유지 및 낙농제품 제조업,1041.0,동물성 및 식물성 유지 제조업,10412,식물성 유지 제조업
C,제조업(10~34),10.0,식료품 제조업,104.0,동ㆍ식물성 유지 및 낙농제품 제조업,1041.0,동물성 및 식물성 유지 제조업,10413,식용 정제유 및 가공유 제조업
C,제조업(10~34),10.0,식료품 제조업,104.0,동ㆍ식물성 유지 및 낙농제품 제조업,1042.0,낙농제품 및 식용 빙과류 제조업,10421,액상시유 및 기타 낙농제품 제조업
C,제조업(10~34),10.0,식료품 제조업,104.0,동ㆍ식물성 유지 및 낙농제품 제조업,1042.0,낙농제품 및 식용 빙과류 제조업,10422,아이스크림 및 기타 식용빙과류 제조업
C,제조업(10~34),10.0,식료품 제조업,105.0,"곡물 가공품, 전분 및 전분제품 제조업",1051.0,곡물 가공품 제조업,10511,곡물 도정업
C,제조업(10~34),10.0,식료품 제조업,105.0,"곡물 가공품, 전분 및 전분제품 제조업",1051.0,곡물 가공품 제조업,10512,곡물 제분업
C,제조업(10~34),10.0,식료품 제조업,105.0,"곡물 가공품, 전분 및 전분제품 제조업",1051.0,곡물 가공품 제조업,10513,곡물 혼합분말 및 반죽 제조업
C,제조업(10~34),10.0,식료품 제조업,105.0,"곡물 가공품, 전분 및 전분제품 제조업",1051.0,곡물 가공품 제조업,10519,기타 곡물 가공품 제조업
C,제조업(10~34),10.0,식료품 제조업,105.0,"곡물 가공품, 전분 및 전분제품 제조업",1052.0,전분제품 및 당류 제조업,10520,전분제품 및 당류 제조업
C,제조업(10~34),10.0,식료품 제조업,106.0,"떡, 빵 및 과자류 제조업",1060.0,"떡, 빵 및 과자류 제조업",10601,떡류 제조업
C,제조업(10~34),10.0,식료품 제조업,106.0,"떡, 빵 및 과자류 제조업",1060.0,"떡, 빵 및 과자류 제조업",10602,빵류 제조업
C,제조업(10~34),10.0,식료품 제조업,106.0,"떡, 빵 및 과자류 제조업",1060.0,"떡, 빵 및 과자류 제조업",10603,과자류 및 코코아 제품 제조업
C,제조업(10~34),10.0,식료품 제조업,107.0,도시락 및 식사용 조리식품 제조업,1070.0,도시락 및 식사용 조리식품 제조업,10701,도시락류 제조업
C,제조업(10~34),10.0,식료품 제조업,107.0,도시락 및 식사용 조리식품 제조업,1070.0,도시락 및 식사용 조리식품 제조업,10709,기타 식사용 가공처리 조리식품 제조업
C,제조업(10~34),10.0,식료품 제조업,108.0,기타 식품 제조업,1081.0,설탕 제조업,10810,설탕 제조업
C,제조업(10~34),10.0,식료품 제조업,108.0,기타 식품 제조업,1082.0,"면류, 마카로니 및 유사 식품 제조업",10820,"면류, 마카로니 및 유사식품 제조업"
